seed,Regressao_score,Regressao_erro,Arvore_score,Arvore_erro,Forest_score,Forest_erro,Svm_score,Svm_erro,Rna_score,Rna_erro
0,0.6968278591771979,-126290.4237750329,0.7370083616027336,-98395.98171008666,0.8750192112793528,-69431.8863300683,0.7882269108321545,-80994.8976928262,0.8759194355142942,-75891.41567876092
1,0.6983930987161513,-126276.38065275103,0.7320469588980187,-98663.44447697693,0.8786655879934822,-69103.96009274758,0.7910654372176481,-80971.53291938841,0.880568126703244,-74572.71753375084
2,0.6970498606917528,-126188.45130080465,0.7692394859835275,-96233.5321464535,0.8756917742204043,-69382.61516557404,0.784315794272193,-81287.41241564481,0.8765917548270643,-76039.73639123155
3,0.697563747869706,-126274.93541716602,0.7575825151769366,-96305.99534394087,0.8782626320958988,-68695.31866920808,0.7810112477509983,-81443.92484047839,0.8800433293374837,-74958.76373639742
4,0.6963691215130973,-126180.22604274226,0.7477902511305947,-97577.93003511426,0.8783862512826867,-69189.87906368302,0.7828063869714023,-81467.72642990091,0.8764179686308793,-76617.16363433716
5,0.6961612741326103,-126223.82739222753,0.7619765074305341,-96605.27610465385,0.8755608309589181,-68903.8513171734,0.7842201953887413,-81448.77841993052,0.8796721773814017,-75471.31072152087
6,0.6972330716274219,-126203.85626235834,0.7592219438803653,-96177.56035160199,0.8778147097249027,-69117.21436623919,0.7834564784079022,-81342.8680135881,0.8799761339456842,-75552.84723742856
7,0.6969903991121376,-126246.42590074905,0.7414947295524474,-97788.06779233896,0.8757517509094226,-69268.35190816953,0.7827652901869511,-81397.11717796618,0.8799119551077019,-75932.67488116582
8,0.6972921146967099,-126237.23925838733,0.7500555577034926,-97127.12439911335,0.8777470635629342,-69087.73211009656,0.7818237134205648,-81069.96041717628,0.8784459403944196,-74618.69083910725
9,0.6974914313597563,-126168.82242883221,0.7506776749227465,-97122.4391538576,0.8741670056884236,-69433.91688699236,0.7828935367431467,-81338.69653887757,0.8785400869033648,-76095.37794209764
